iter	Passed	Remaining
417	2699	3758
418	2706	3752
419	2713	3746
420	2719	3739
421	2725	3733
422	2732	3727
423	2738	3720
424	2745	3714
425	2751	3707
426	2758	3701
427	2764	3694
428	2771	3688
429	2778	3682
430	2783	3674
431	2789	3668
432	2796	3661
433	2801	3653
434	2808	3648
435	2815	3641
436	2822	3635
437	2828	3629
438	2834	3622
439	2841	3616
440	2848	3610
441	2854	3604
442	2860	3596
443	2866	3589
444	2872	3582
445	2879	3576
446	2885	3569
447	2891	3562
448	2898	3556
449	2904	3549
450	2910	3542
451	2916	3536
452	2923	3530
453	2929	3523
454	2936	3516
455	2942	3510
456	2947	3502
457	2954	3496
458	2960	3489
459	2966	3482
460	3006	3515
461	3017	3514
462	3024	3508
463	3037	3508
464	3044	3502
465	3051	3496
466	3057	3489
467	3063	3482
468	3070	3476
469	3076	3469
470	3084	3464
471	3091	3457
472	3097	3450
473	3104	3444
474	3110	3438
475	3117	3432
476	3124	3425
477	3132	3420
478	3138	3413
479	3144	3406
480	3151	3400
481	3158	3394
482	3165	3387
483	3172	3381
484	3178	3375
485	3185	3368
486	3191	3362
487	3198	3355
488	3204	3348
489	3211	3342
490	3217	3335
491	3223	3327
492	3229	3321
493	3235	3314
494	3241	3307
495	3247	3300
496	3253	3293
497	3259	3285
498	3266	3279
499	3272	3272
500	3279	3266
501	3285	3259
502	3291	3252
503	3298	3245
504	3304	3238
505	3311	3233
506	3317	3226
507	3323	3218
508	3330	3212
509	3337	3206
510	3343	3199
511	3349	3192
512	3355	3185
513	3362	3178
514	3368	3172
515	3375	3166
516	3381	3159
517	3387	3152
518	3395	3146
519	3401	3140
520	3409	3134
521	3415	3127
522	3422	3121
523	3429	3114
524	3435	3108
525	3442	3101
526	3448	3095
527	3454	3087
528	3462	3082
529	3467	3074
530	3474	3068
531	3479	3061
532	3485	3053
533	3491	3047
534	3497	3039
535	3503	3032
536	3509	3025
537	3514	3018
538	3520	3011
539	3526	3004
540	3532	2997
541	3539	2990
542	3545	2984
543	3551	2976
544	3558	2970
545	3564	2963
546	3571	2957
547	3577	2950
548	3583	2943
549	3590	2937
550	3596	2930
551	3603	2924
552	3608	2916
553	3614	2909
554	3621	2903
555	3627	2896
556	3633	2890
557	3640	2883
558	3645	2876
559	3652	2869
560	3657	2862
561	3663	2855
562	3670	2849
563	3677	2842
564	3684	2836
565	3690	2829
566	3696	2823
567	3703	2816
568	3710	2810
569	3717	2804
570	3723	2797
571	3730	2791
572	3736	2784
573	3742	2777
574	3748	2770
575	3754	2763
576	3760	2756
577	3767	2750
578	3773	2743
579	3779	2736
580	3786	2730
581	3793	2724
582	3815	2729
583	3821	2722
584	3826	2714
585	3832	2707
586	3838	2700
587	3844	2694
588	3851	2687
589	3857	2680
590	3864	2674
591	3871	2668
592	3877	2661
593	3883	2654
594	3890	2648
595	3897	2641
596	3903	2634
597	3909	2627
598	3915	2621
599	3921	2614
600	3927	2607
601	3933	2600
602	3939	2593
603	3946	2587
604	3951	2580
605	3958	2573
606	3964	2566
607	3970	2560
608	3977	2553
609	3983	2546
610	3988	2539
611	3995	2533
612	4001	2525
613	4007	2519
614	4014	2512
615	4020	2506
616	4027	2500
617	4034	2493
618	4041	2487
619	4047	2480
620	4053	2473
621	4060	2467
622	4067	2461
623	4073	2454
624	4079	2447
625	4085	2440
626	4092	2434
627	4099	2428
628	4106	2421
629	4112	2415
630	4118	2408
631	4124	2401
632	4130	2394
633	4136	2387
634	4142	2380
635	4147	2373
636	4154	2367
637	4162	2361
638	4169	2355
639	4175	2348
640	4181	2342
641	4189	2336
642	4195	2329
643	4202	2323
644	4209	2316
645	4215	2309
646	4221	2303
647	4228	2296
648	4234	2290
649	4241	2283
650	4247	2276
651	4254	2270
652	4261	2264
653	4268	2258
654	4274	2251
655	4281	2245
656	4288	2238
657	4295	2232
658	4301	2226
659	4308	2219
660	4314	2212
661	4320	2205
662	4326	2199
663	4333	2192
664	4339	2186
